index,URI,Beeldbank,Beeldbank_scans_index,Beeldbank_scans_aantal,Beeldbank_iiif_manifest,Beeldbank_iiif_canvas,Beeldbank_iiif_info,Titel,Opmerkingen
VOC3,https://pid.uba.uva.nl/ark:/88238/b1990030285240205131,https://hdl.handle.net/11245/3.40095,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40095/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40095/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990030285240205131!HB-KZL-I-1-A-6-31.jpg,Le royaume de Siam : auec les royaumes qui luy sont tributaires ,
VOC4,https://pid.uba.uva.nl/ark:/88238/b1990014421080205131,https://hdl.handle.net/11245/3.40096,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40096/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40096/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990014421080205131!HB-KZL-I-1-A-6-32.jpg,Insulae Iavae pars orientalis ,
VOC5,https://pid.uba.uva.nl/ark:/88238/b1990014421030205131,https://hdl.handle.net/11245/3.40097,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40097/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40097/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990014421030205131!HB-KZL-I-1-A-6-33.jpg,Insulae Iavae Pars Occidentalis ,
VOC6,https://pid.uba.uva.nl/ark:/88238/b1990020504540205131,https://hdl.handle.net/11245/3.40098,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40098/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40098/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990020504540205131!HB-KZL-I-1-A-6-39.jpg,"Het Koninkryk Japan, verdeelt in acht en zestig provintien ",
VOC7,https://pid.uba.uva.nl/ark:/88238/b1990011196990205131,https://hdl.handle.net/11245/3.39625,45,67,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39625/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39625/pages/46/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990011196990205131!hb-kzl-viii-b-25-44.jpg,Asia ,Onderdeel van atlas
VOC8,https://pid.uba.uva.nl/ark:/88238/b1990011196990205131,https://hdl.handle.net/11245/3.39625,49,67,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39625/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39625/pages/50/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990011196990205131!hb-kzl-viii-b-25-48.jpg,India ,Onderdeel van atlas
VOC9,https://pid.uba.uva.nl/ark:/88238/b1990011196990205131,https://hdl.handle.net/11245/3.39625,51,67,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39625/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39625/pages/52/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990011196990205131!hb-kzl-viii-b-25-49.jpg,Eiland Ceilon ,Onderdeel van atlas
VOC10,https://pid.uba.uva.nl/ark:/88238/b1990011196990205131,https://hdl.handle.net/11245/3.39625,53,67,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39625/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_39625/pages/54/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990011196990205131!hb-kzl-viii-b-25-51.jpg,Japan ,Onderdeel van atlas
VOC11,https://pid.uba.uva.nl/ark:/88238/b1990011183160205131,https://hdl.handle.net/11245/3.20867,134,187,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_20867/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_20867/pages/135/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990011183160205131!otm_hb_kzl_xi_a_10_135.jpg,Indiae ,Onderdeel van atlas
VOC12,https://pid.uba.uva.nl/ark:/88238/b1990011183160205131,https://hdl.handle.net/11245/3.20867,98,187,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_20867/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_20867/pages/99/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990011183160205131!otm_hb_kzl_xi_a_10_099.jpg,Asiae ,Onderdeel van atlas
VOC13,https://pid.uba.uva.nl/ark:/88238/b1990011227590205131,https://hdl.handle.net/11245/3.19271,34,50,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_19271/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_19271/pages/35/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990011227590205131!otm-hb-kzl-x-b-12_035.jpg,Oost-Indien ,Onderdeel van atlas
